siruta,lhdi_2018_pred
153400.0,41.0
152314.0,40.0
151978.0,57.8
151709.0,39.9
155118.0,50.0
151736.0,42.3
125588.0,43.5
152234.0,47.3
127938.0,50.7
70879.0,45.5
103194.0,46.4
127251.0,44.9
130339.0,52.2
153589.0,42.6
154460.0,48.6
127224.0,43.0
105909.0,43.5
129282.0,48.4
127368.0,54.5
125542.0,58.5
71607.0,49.4
152500.0,39.6
179739.0,53.2
129745.0,46.8
129629.0,49.1
129718.0,52.9
153561.0,43.7
100549.0,51.9
129460.0,46.0
129898.0,50.2
130375.0,47.7
152662.0,33.8
74867.0,45.6
72463.0,43.2
72980.0,46.4
72034.0,51.0
126148.0,50.6
127750.0,42.1
73996.0,33.4
72579.0,37.6
103309.0,27.8
125962.0,45.5
70897.0,38.5
73460.0,32.8
128588.0,47.5
126077.0,52.8
72640.0,46.6
74842.0,32.0
154344.0,35.1
104715.0,44.4
71858.0,51.2
74108.0,47.0
130320.0,53.3
129184.0,49.9
104519.0,38.2
71956.0,38.6
74883.0,46.5
128560.0,43.5
70940.0,45.0
73736.0,53.1
128613.0,41.7
70673.0,50.8
151816.0,51.6
153909.0,34.5098685272
72098.0,43.1
130026.0,45.6
152332.0,33.4
74581.0,39.7
129567.0,37.4
103354.0,42.5
151790.0,65.0
125659.0,47.7
153776.0,35.8
70352.0,53.6
74554.0,38.4
70520.0,46.6
154996.0,24.7
102446.0,44.2
72533.0,43.7
74224.0,47.1
70316.0,48.1
126647.0,50.8
129040.0,30.3
153204.0,31.3
127144.0,46.4
128524.0,47.2
73031.0,48.8
101001.0,37.9
71698.0,39.5
71634.0,41.4
71812.0,46.1
103899.0,19.4
74891.0,46.2
72221.0,41.9
129095.0,46.0
70726.0,39.8
72383.0,43.9
73335.0,43.9
127536.0,44.5
103470.0,42.9
125472.0,63.7
70502.0,48.4
126585.0,33.3
101724.0,40.4
125490.0,46.0
128472.0,38.2
104118.0,39.2
152038.0,23.4
101804.0,50.4999999952
71787.0,43.9
72052.0,35.5
153865.0,25.7
100610.0,55.0
153507.0,29.3
105348.0,35.2
128864.0,34.6
113493.0,34.0
179766.0,46.6
103639.0,47.9
152172.0,34.6
72882.0,42.1
126718.0,41.1
104975.0,29.0
154415.0,43.4
72506.0,46.6
103372.0,40.5
73594.0,42.0
71457.0,25.4
154166.0,45.9
74322.0,42.4
126102.0,40.8
112744.0,38.7
71518.0,31.6
125622.0,53.7
153473.0,37.0
101662.0,45.2
105259.0,34.3
74915.0,52.5
180055.0,46.0
62486.0,44.0
104751.0,39.5
154932.0,31.7
74509.0,37.5
152724.0,37.7
105605.0,39.6
111444.0,42.6
74411.0,40.7
102419.0,39.1
74732.0,37.6
100638.0,37.5
130357.0,37.4
126978.0,39.3
105776.0,52.5
114079.0,39.1
72926.0,44.8
111550.0,35.1
129763.0,29.8
127386.0,25.0
105106.0,41.0
105384.0,35.9
155092.0,32.3
114060.0,39.2
127493.0,33.9
129111.0,33.4
127714.0,30.8
74750.0,33.9
71885.0,56.4
179588.0,71.2
111783.0,29.9
153437.0,26.4
73068.0,71.0
74028.0,36.5
127983.0,38.8
100781.0,50.1
113849.0,41.2
104083.0,27.0
72150.0,40.9
74859.0,91.3
151905.0,58.5
130311.0,27.6
154754.0,21.3
130384.0,43.8
105829.0,34.7
126406.0,27.4
126380.0,43.5
73503.0,35.2
154978.0,27.9
74359.0,32.5
105936.0,73.2
74705.0,38.6
129987.0,30.9
92569.0,60.6
74616.0,41.9
93325.0,49.0
93441.0,44.6
128178.0,40.8
94312.0,41.7
73923.0,36.4
126022.0,29.9
101984.0,29.5
112771.0,28.9
130348.0,33.9
93085.0,46.5
92587.0,51.1
125846.0,44.6
104323.0,45.8
179962.0,31.7
112030.0,31.3
113395.0,30.2
129246.0,35.9
94606.0,39.3
151996.0,35.5
74931.0,24.9
69900.0,69.7
71260.0,43.4
71536.0,12.4
73629.0,70.3
93664.0,48.0
94125.0,42.6
94651.0,46.1
102838.0,28.7
129585.0,26.5
112879.0,38.9
94580.0,32.2
127563.0,39.6
154228.0,33.6
154282.0,36.0
74135.0,12.8624278126
70986.0,16.9
101378.0,36.5
154068.0,26.3
128105.0,48.3
104225.0,37.5
93771.0,40.8
93815.0,41.5
